library_id,citation,type,title_id,version_id,jurisdiction,topic,source,url,when_scraped,last_successful_scrape,status,error,source_status,content_format,government_register_url,content_url
100000033,Crown Rates and Taxes Recovery Act 1945,primary_legislation,fmt:v2|2016-07-03,austlii:sha256:e74f3a1b3c0b66f7cc8e64dc042409737f5c109e1f24184bd08734c6704025ef,south_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_act/cratra1945330/,2025-12-29T23:26:52.270130Z,2025-12-29T23:28:22.242055Z,ok,,InForce,text,https://www.legislation.sa.gov.au/lz?path=/c/a/crown%20rates%20and%20taxes%20recovery%20act%201945,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_act/cratra1945330.txt
100000034,Customs Act 1901,primary_legislation,C2004A03349,austlii:sha256:b2983c77464804af54e4b3fcf438dc642dd1445b64516235129fc3a9e3b764d6,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ca1901124/,2025-12-29T23:28:22.243660Z,2025-12-29T23:29:52.707193Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ca1901124.txt
100000035,Customs Licensing Charges Act 1997,primary_legislation,C2004A03349,austlii:sha256:ccb5d3d28fb8ee7f5a300e7c7092735cda60e9d0ccb65632a572ec7d9b759af9,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/clca1997261/,2025-12-29T23:29:52.708815Z,2025-12-29T23:31:22.240833Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/clca1997261.txt
100000036,Customs Securities (Penalties) Act 1981,primary_legislation,C2004A03349,austlii:sha256:cb20745f9c26a597f34b5f3516ab9a818991736a9216f2ca084d37db71783c7a,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/csa1981334/,2025-12-29T23:31:22.242493Z,2025-12-29T23:32:52.249656Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/csa1981334.txt
100000037,Customs Securities (Penalties) Act 1981,primary_legislation,C2004A03352,austlii:sha256:cb20745f9c26a597f34b5f3516ab9a818991736a9216f2ca084d37db71783c7a,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/csa1981334/,2025-12-29T23:32:52.251301Z,2025-12-29T23:34:22.236552Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/csa1981334.txt
100000038,Customs Tariff Act 1995,primary_legislation,C2004A03350,austlii:sha256:4ec8384ffb31a4cc0b31d88b0cb35b8c4d8b440799828c143285e39572bb4fa7,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/cta1995178/,2025-12-29T23:34:22.238133Z,2025-12-29T23:35:52.660231Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/cta1995178.txt
100000039,Customs Undertakings (Penalties) Act 1981,primary_legislation,C2004A03351,austlii:sha256:b4e4877572805b78fdcc5a3d1287263a31d0345ae0895e39d8ff9c15595a033a,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/cua1981347/,2025-12-29T23:35:52.661914Z,2025-12-29T23:37:22.258365Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/cua1981347.txt
100000040,Data-Matching Program (Assistance and Tax) Act 1990,primary_legislation,C2004A04095,austlii:sha256:8850e5ae0aa4b711f4d47d055ca493ec194826d5fc87c209374557b041982df5,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/dpata1990349/,2025-12-29T23:37:22.259990Z,2025-12-29T23:38:52.255231Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A04095/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/dpata1990349.txt
100000041,Duties Act 1997,primary_legislation,fmt:v2|2025-12-03,austlii:sha256:a6d7602f0c0bf19a341e5383504f70340864b0102c44880f82b45f2035afc509,new_south_wales,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/da199793/,2025-12-29T23:38:52.256821Z,2025-12-29T23:40:22.509016Z,ok,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1997-123,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/da199793.txt
100000042,Duties Act 1999,primary_legislation,R79|2025-12-16,austlii:sha256:91f7f0132dd375731cfb47838ae9d0faf8f403c4879eea46d0f47189dc0ccb1a,australian_capital_territory,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/act/consol_act/da199993/,2025-12-29T23:40:22.510680Z,2025-12-29T23:41:52.351180Z,ok,,InForce,text,https://www.legislation.act.gov.au/a/1999-7/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/act/consol_act/da199993.txt
100000043,Duties Act 2000,primary_legislation,140,austlii:sha256:462869c8a266b6b3d6952675cec7d74ed36ce5dfa280a139d28c0b25ab26a223,victoria,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/vic/consol_act/da200093/,2025-12-29T23:41:52.352843Z,2025-12-29T23:43:22.475510Z,ok,,InForce,text,https://www.legislation.vic.gov.au/in-force/acts/duties-act-2000/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/vic/consol_act/da200093.txt
100000044,Duties Act 2001,primary_legislation,sha256:ee077c9c6444a90807708e46e6bf873adcac120ecdcfb31e66d156197f471237,austlii:sha256:4e71ca698a7b2fa19db0111e03ffedfc5e6d53ea80191929f08fbdf635f82ea5,queensland,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/qld/consol_act/da200193/,2025-12-29T23:43:22.477322Z,2025-12-29T23:44:52.551871Z,ok,,InForce,text,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2001-071,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/qld/consol_act/da200193.txt
100000045,Duties Act 2001,primary_legislation,fmt:v4|2024-09-04,austlii:sha256:e96d89a263b2bdf4d2d342aa2335b3ce4672c0038b49b4672439dcecc928e2a4,tasmania,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/tas/consol_act/da200193/,2025-12-29T23:44:52.553528Z,2025-12-29T23:46:22.554856Z,ok,,InForce,text,https://www.legislation.tas.gov.au/view/html/inforce/current/act-2001-015,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/tas/consol_act/da200193.txt
100000046,Duties Act 2008,primary_legislation,fmt:v2|currency_start:2025-12-19|suffix:03-x0-00,austlii:sha256:8be9b869b9ec415e49abfa071a752de416e3d34d3322e4f5df36e0e146163309,western_australia,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/wa/consol_act/da200893/,2025-12-29T23:46:22.556493Z,2025-12-29T23:47:52.420089Z,ok,,InForce,text,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a146657.html&view=consolidated,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/wa/consol_act/da200893.txt
100000047,Duties Regulation 2023,secondary_legislation,sha256:55fed35ac62f5ba81add8d1192b4409678a2a5ef9a2695ba1bbaadfd3942ce83,austlii:sha256:c747afde9e161d6833ec6d57157598834ac19c98640b13c3284c030e329fcebd,queensland,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/qld/consol_reg/dr2023184/,2025-12-29T23:47:52.421788Z,2025-12-29T23:49:22.242732Z,ok,,InForce,text,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-2023-0104,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/qld/consol_reg/dr2023184.txt
100000048,Duties Regulations 2008,secondary_legislation,fmt:v2|currency_start:2025-05-01|suffix:01-j0-00,austlii:sha256:351d617d637d1f12526372f9aa3958309770996035b88675db12edc1abb685a0,western_australia,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/wa/consol_reg/dr2008202/,2025-12-29T23:49:22.244506Z,2025-12-29T23:54:52.189443Z,ok,,InForce,text,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s40675.html&view=consolidated,https://classic.austlii.edu.au/au/legis/wa/consol_reg/dr2008202/
100000049,Duties Regulations 2021,secondary_legislation,fmt:v4|2021-06-16,austlii:sha256:34b6cf5581ea75c12ea09a12e54441ea214852b22d70dd1a427a6932e5e0c219,tasmania,duties,classic_austlii,https://classic.austlii.edu.au/au/legis/tas/consol_reg/dr2021202/,2025-12-29T23:54:52.191075Z,2025-12-29T23:56:22.306874Z,ok,,InForce,text,https://www.legislation.tas.gov.au/view/html/inforce/current/sr-2021-037,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/tas/consol_reg/dr2021202.txt
100000050,Excise Act 1901,primary_legislation,C2004A03349,austlii:sha256:bfbaa6ccbb66d21d838d6018c69a778e6f29e72208d7399b4c6b72ddb35543ff,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ea190180/,2025-12-29T23:56:22.308529Z,2025-12-29T23:57:52.376339Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ea190180.txt
100000051,Excise Tariff Act 1921,primary_legislation,C2004A03353,austlii:sha256:1c9ad49d0d7aba1a7400ac39bfdab4e20276b2c9d6f05fe706e4fb13936e6685,commonwealth,excise_including_customs,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/eta1921134/,2025-12-29T23:57:52.377987Z,2025-12-29T23:59:22.301170Z,ok,,InForce,text,,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/eta1921134.txt
100000052,Fair Work Act 2009,primary_legislation,C2009A00028,austlii:sha256:3dd9eb00f4773229541df37fc8362d17242daff22363f81670ebaa196f26ac09,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/fwa2009114/,2025-12-29T23:59:22.302846Z,2025-12-30T00:00:52.738895Z,ok,,InForce,text,https://www.legislation.gov.au/C2009A00028/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/fwa2009114.txt
100000053,Family Law Act 1975,primary_legislation,C2004A00275,austlii:sha256:937ef849f5626fac9215fa3f891e132ce274a0ba7aa0b51e6c7d590eb0d7b28e,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/fla1975114/,2025-12-30T00:00:52.740527Z,2025-12-30T00:02:22.356075Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A00275/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/fla1975114.txt
100000054,Family Trust Distribution Tax (Primary Liability) Act 1998,primary_legislation,C2004A05323,austlii:sha256:b025e09fc87106963b8c3530a11fa1be7dd89b75b41b32409a8d8932b5a4686e,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ftdtla1998547/,2025-12-30T00:02:22.357716Z,2025-12-30T00:03:52.255575Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A05323/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ftdtla1998547.txt
100000055,Family Trust Distribution Tax (Secondary Liability) Act 1998,primary_legislation,C2004A05324,austlii:sha256:952fde1e2de4310dcf92f53e7847ca7ae4d93c1fd1ff6cccf09085c871b677e3,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ftdtla1998549/,2025-12-30T00:03:52.257184Z,2025-12-30T00:05:22.260282Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A05324/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ftdtla1998549.txt
100000056,First Home and Housing Construction Grants Act 2000,primary_legislation,fmt:v2|2025-12-03,austlii:sha256:8ac27d5efb8721e2bfe7c60ce5064c2f7bf1221e34a2188923ceb0f8f7c44650,south_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_act/fhahcga2000459/,2025-12-30T00:05:22.262142Z,2025-12-30T00:06:52.306536Z,ok,,InForce,text,https://www.legislation.sa.gov.au/lz?path=%2FC%2FA%2FFirst%20Home%20and%20Housing%20Construction%20Grants%20Act%202000,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_act/fhahcga2000459.txt
100000057,First Home Owner Grant Act 2000,primary_legislation,R37|2025-11-16,austlii:sha256:5a09becd25ac90f62ab05941f80a73f7012e1c0700607b811039b04547d453d8,australian_capital_territory,other,classic_austlii,https://classic.austlii.edu.au/au/legis/act/consol_act/fhoga2000250/,2025-12-30T00:06:52.308144Z,2025-12-30T00:08:22.316572Z,ok,,InForce,text,https://www.legislation.act.gov.au/a/2000-23/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/act/consol_act/fhoga2000250.txt
100000058,First Home Owner Grant Act 2000,primary_legislation,reprint:REPF039,austlii:sha256:07d639b1b749637299c02b6e2eb8ef6e4f874217a19925dd4b4bf991cb1c6a88,northern_territory,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nt/consol_act/fhoga2000250/,2025-12-30T00:08:22.318192Z,2025-12-30T00:09:52.296620Z,ok,,InForce,text,https://legislation.nt.gov.au/Legislation/FIRST-HOME-OWNER-GRANT-ACT-2000,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nt/consol_act/fhoga2000250.txt
100000059,First Home Owner Grant and Home Buyer Schemes Act 2000,primary_legislation,53,austlii:sha256:b36b243c2d47a84cee0a0c3a4e4d7b6ad21456f039e2771b4037407221b764b7,victoria,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/vic/consol_act/fhogahbsa2000434/,2025-12-30T00:09:52.298264Z,2025-12-30T00:11:22.302182Z,ok,,InForce,text,https://www.legislation.vic.gov.au/in-force/acts/first-home-owner-grant-and-home-buyer-schemes-act-2000/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/vic/consol_act/fhogahbsa2000434.txt
100000060,First Home Owner Grant and Other Home Owner Grants Act 2000,primary_legislation,sha256:454ca7f86635100617447c5ebb9fa8783675545c56be1f0a9879eac9a528b0be,austlii:sha256:0c532a77d7064f46ee1a5ad93a1089ab1b436a7090a9ca6d44b95c7dbbac4322,queensland,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/qld/consol_act/fhogaohoga2000507/,2025-12-30T00:11:22.303857Z,2025-12-30T00:12:52.596072Z,ok,,InForce,text,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2000-014,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/qld/consol_act/fhogaohoga2000507.txt
