library_id,citation,type,title_id,version_id,jurisdiction,topic,source,url,when_scraped,last_successful_scrape,status,error,source_status,content_format,government_register_url,content_url
100000104,Land Tax Act 1956,primary_legislation,fmt:v2|2025-09-23,austlii:sha256:01a6a7c412f3ff4edb46e22b5bfd2045e8a99731d494aea93ea05409f4b9d98d,new_south_wales,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/lta195690/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1956-027,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/lta195690.txt
100000105,Land Tax Act 2000,primary_legislation,fmt:v4|2024-09-04,austlii:sha256:85140a90333c8755141a30e79c4b74f1eceff1fe99261223df808ca1f0ce3fe7,tasmania,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/tas/consol_act/lta200090/,,,,,InForce,text,https://www.legislation.tas.gov.au/view/html/inforce/current/act-2000-074,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/tas/consol_act/lta200090.txt
100000106,Land Tax Act 2002,primary_legislation,fmt:v2|currency_start:2015-07-01|suffix:02-d0-04,austlii:sha256:3667b2496aeab1e1a5a289b90688b969d0f7436ed9f331e6da7016bc62821fa4,western_australia,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/wa/consol_act/lta200290/,,,,,InForce,text,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a6340.html&view=consolidated,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/wa/consol_act/lta200290.txt
100000107,Land Tax Act 2004,primary_legislation,R34|2025-12-26,austlii:sha256:e7304e2dbdc6ee4ea4ec3d19d95903124a6fffff225e93eff8f9bd40e766e4d0,australian_capital_territory,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/act/consol_act/lta200490/,,,,,InForce,text,https://www.legislation.act.gov.au/a/2004-4/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/act/consol_act/lta200490.txt
100000108,Land Tax Act 2005,primary_legislation,84,austlii:sha256:b5a18222514623a7af81fd05faa974dd254e67c43bd311421044be9857f81093,victoria,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/vic/consol_act/lta200590/,,,,,InForce,text,https://www.legislation.vic.gov.au/in-force/acts/land-tax-act-2005/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/vic/consol_act/lta200590.txt
100000109,Land Tax Assessment Act 2002,primary_legislation,fmt:v2|currency_start:2025-12-19|suffix:05-m0-00,austlii:sha256:53a3d0d0a06f2c53ba027f1ba17990d37c25be5395d5e6458bbb58b3ff421a6d,western_australia,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/wa/consol_act/ltaa2002214/,,,,,InForce,text,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a6341.html&view=consolidated,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/wa/consol_act/ltaa2002214.txt
100000110,Land Tax Assessment Regulations 2003,secondary_legislation,fmt:v2|currency_start:2022-07-01|suffix:02-f0-00,austlii:sha256:da947153f4d5e689f80ad71a918ea4a3f11f40db1e03aeff87c30ab5e44beacb,western_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/wa/consol_reg/ltar2003323/,,,,,InForce,text,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_s15942.html&view=consolidated,https://classic.austlii.edu.au/au/legis/wa/consol_reg/ltar2003323/
100000111,Land Tax Management Act 1956,primary_legislation,fmt:v2|2025-12-03,austlii:sha256:74eeb6a3c002b13ab7536282de0ac8538a8754b4ae8dec57dcd01c81d23a50d9,new_south_wales,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/ltma1956173/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1956-026,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/ltma1956173.txt
100000112,Land Tax Rating Act 2000,primary_legislation,fmt:v4|2024-07-12,austlii:sha256:575220d2263a6896525853b965ce04fd081576263fd51f2bbc4eabd5b7051cad,tasmania,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/tas/consol_act/ltra2000153/,,,,,InForce,text,https://www.legislation.tas.gov.au/view/html/inforce/current/act-2000-073,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/tas/consol_act/ltra2000153.txt
100000113,Land Tax Regulations 2021,secondary_legislation,fmt:v4|2021-12-01,austlii:sha256:ba06acd8f170dcdad0a18c9fc66421b260cc21ba3b44d6a5ed4d5f1fe864a9bc,tasmania,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/tas/consol_reg/ltr2021199/,,,,,InForce,text,https://www.legislation.tas.gov.au/view/html/inforce/current/sr-2021-096,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/tas/consol_reg/ltr2021199.txt
100000114,Land Tax Regulations 2025,secondary_legislation,"fmt:v2|last_modified:Thu, 11 Dec 2025 23:07:13 GMT",austlii:sha256:a78fd21cee86b2ab2026ae0e663b8b520862732e71e61a2c814086d8e42c9520,south_australia,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_reg/ltr2025199/,,,,,InForce,text,https://www.legislation.sa.gov.au/lz?path=/c/r/land%20tax%20regulations%202025,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_reg/ltr2025199.txt
100000115,Legislation Interpretation Act 2021,primary_legislation,fmt:v2|2025-11-19,austlii:sha256:d410f17655d9793fbf5a0b64ec590f5267606c93c55b48e5aba295a1bc4ab6d1,south_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_act/lia2021303/,,,,,InForce,text,https://www.legislation.sa.gov.au/lz?path=/c/a/legislation%20interpretation%20act%202021,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_act/lia2021303.txt
100000116,Loans (Taxation Exemption) Act 1978,primary_legislation,C2004A01959,austlii:sha256:74c3c898788ec06d04988a4573017656ef9ca8a7513b59611fa13dcb79526375,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/lea1978285/,,,,,InForce,text,https://www.legislation.gov.au/C2004A01959/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/lea1978285.txt
100000117,Medicare Levy Act 1986,primary_legislation,C2004A03351,austlii:sha256:02c81530aa4f3b27a819dc72f0cd613be58d4b414d4867f054359d183a7084e9,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/mla1986131/,,,,,InForce,text,https://www.legislation.gov.au/C2004A03351/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/mla1986131.txt
100000118,Mining Act 1992,primary_legislation,fmt:v2|2025-07-01,austlii:sha256:f474905716c6efa5cc73a1b24b82146d54e2ac3389a93b0811efaaa353a66d4e,new_south_wales,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/ma199281/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1992-029,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/ma199281.txt
100000119,Motor Vehicles Taxation Act 1988,primary_legislation,fmt:v2|2021-10-20,austlii:sha256:66edc6276bfc5d78345ae27a66231000f8c927ef4fd27c72fbcc4b840cd49e8b,new_south_wales,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/mvta1988268/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1988-111,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/mvta1988268.txt
100000120,Motor Vehicles Taxation Regulation 2025,secondary_legislation,fmt:v2|2025-06-27,austlii:sha256:9d527fbe75369d2bbd150e538b81dac919fd5d92732e358ad0ae3d259dfdfecc,new_south_wales,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_reg/mvtr2025359/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/sl-2025-0304,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_reg/mvtr2025359.txt
100000121,National Tax Reform (State Provisions) Act 2000,primary_legislation,fmt:v2|2020-06-30,austlii:sha256:bb0d6524c28d317c1618bae420741c4233a9cb383090411fb4a757ff35542bfd,south_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_act/ntrpa2000416/,,,,,InForce,text,https://www.legislation.sa.gov.au/lz?path=/c/a/national%20tax%20reform%20(state%20provisions)%20act%202000,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_act/ntrpa2000416.txt
100000122,National Taxation Reform (Commonwealth-State Relations) Act 1999,primary_legislation,fmt:v4|2025-09-26,austlii:sha256:ae4e6c70a5bc195ec3ecccfa06aa955a0459a39d8dd243d8b58978b066c0726b,tasmania,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/tas/consol_act/ntrra1999558/,,,,,InForce,text,https://www.legislation.tas.gov.au/view/html/inforce/current/act-1999-084,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/tas/consol_act/ntrra1999558.txt
100000123,National Taxation Reform (Consequential Provisions) Act 2000,primary_legislation,4,austlii:sha256:b1c8622793d239b625cfc6a33b7067552d9745a22ff515d334e32bf301e1ca91,victoria,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/vic/consol_act/ntrpa2000552/,,,,,InForce,text,https://www.legislation.vic.gov.au/in-force/acts/national-taxation-reform-consequential-provisions-act-2000/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/vic/consol_act/ntrpa2000552.txt
100000124,Offshore Minerals Act 1999,primary_legislation,fmt:v2|2016-03-01,austlii:sha256:a3ecfe7ae7b905775d78ccef5428016e9484dfcb5101ca2c39b46daeee5232d2,new_south_wales,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/oma1999188/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1999-042,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/oma1999188.txt
100000125,Partnership Act 1891,primary_legislation,sha256:17771b7389f150fc0011b40bafc418186a7d315007685bbd27b58db3359d0679,austlii:sha256:30d47a4adba05f45911344126b153a609d3eb46c7d3c0635ebc17096f21b9046,queensland,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/qld/consol_act/pa1891154/,,,,,InForce,text,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1891-007,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/qld/consol_act/pa1891154.txt
